Country,Name,Status,Year,Owner,Turbine_type,Number_turbines,Turbine_model,Proxy_turbine,Turbine_MW,Rotor_radius,Airgap,Data_source
United Kingdom,Buchan Offshore Wind Farm,Planned,2030,"BW Ideol, Elicio, BayWa r.e.",Floating,64,,IEA-15MW-240-RWT,15,120,30,https://buchanoffshorewind.com/about
United Kingdom,Caledonia Offshore Wind Farm,Planned,2030,Ocean Winds,Mixed: three quarters fixed,84,,,24,135,,https://www.caledoniaoffshorewind.com/
United Kingdom,Campion,Planned,2028,ScottishPower and Shell,Floating,100,,,20,135,,https://www.power-technology.com/marketdata/power-plant-profile-campion-wind-offshore-project-uk/
United Kingdom,Dogger Bank A,Construction,2026,"SSE, Equinor, Vårgrønn",Fixed,95,GE’s Haliade-X,,14,110,,https://www.sserenewables.com/offshore-wind/projects/dogger-bank/
United Kingdom,Dogger Bank B,Construction,2026,"SSE, Equinor, Vårgrønn",Fixed,95,GE’s Haliade-X,,14,110,,https://www.sserenewables.com/offshore-wind/projects/dogger-bank/
United Kingdom,Dogger Bank C,Approved,2026,"SSE, Equinor, Vårgrønn",Fixed,87,GE’s Haliade-X,,14,110,,https://www.sserenewables.com/offshore-wind/projects/dogger-bank/
United Kingdom,Dudgeon,Production,2017,Equinor,Fixed,67,SWT-6.0-154,,6,77,,https://dudgeonoffshorewind.co.uk/
United Kingdom,Dudgeon Extension,Planned,2027,"Equinor, China Resources, Masdar",Fixed,30,,,13.4,110,,https://www.power-technology.com/marketdata/power-plant-profile-dudgeon-offshore-wind-farm-extension-project-uk/
United Kingdom,East Anglia ONE,Production,2020,"ScottishPower, Macquarie's Green Investment Group",Fixed,102,SWT-7.0-154,,7,77,,https://www.power-technology.com/projects/east-anglia-one-offshore-wind-farm/
United Kingdom,East Anglia ONE NORTH,Approved,2026,ScottishPower,Fixed,67,,,12,110,,https://www.power-technology.com/marketdata/east-anglia-one-north-scottishpower-uk/
United Kingdom,East Anglia THREE,Construction,2026,ScottishPower,Fixed,100,,, 7 - 12,110,,https://www.power-technology.com/projects/east-anglia-three-offshore-wind-farm-uk/
United Kingdom,East Anglia TWO,Planned,2030,ScottishPower,Fixed,75,,,19,125,,https://www.power-technology.com/projects/east-anglia-two-offshore-wind-farm-north-sea/
United Kingdom,Five Estuaries,Planned,2030,RWE Renewables UK,Fixed,48-79,,,6.3,77,,https://fiveestuaries.co.uk/about/
United Kingdom,Forthwind Methil Demonstration,Approved,2030,Cierco wind,Floating,2,2B6,,9,128,25,https://forthwind.co.uk/project
United Kingdom,Galloper,Production,2018,"RWE Renewables, Siemens Financial Services, ESB, Sumitomo Corporation",Fixed,56,SWT-6.0-154,,6.3,77,,"https://www.power-technology.com/projects/galloper-offshore-wind-farm/#:~:text=Galloper%20offshore%20windfarm%20make%2Dup&text=The%20Galloper%20offshore%20windfarm%20features,total%20generation%20capacity%20of%20353MW."
United Kingdom,Greater Gabbard,Production,2012,"SSE Renewables, RWE Renewables",Fixed,140,SWT-3.6-107,,3.6,60,,"https://www.power-technology.com/marketdata/power-plant-profile-greater-gabbard-uk/#:~:text=The%20company%20provided%20140%20units,Gabbard%2C%20buy%20the%20profile%20here."
United Kingdom,Gunfleet Sands Demo,Production,2013,DONG Energy,Fixed,2,Siemens,,6,77,22,https://www.renewable-technology.com/projects/gunfleet-sands-offshore-wind-farm/
United Kingdom,Gunfleet Sands I,Production,2010,DONG Energy,Fixed,30,SWT-3.6-107,,3.6,53.5,22,https://www.renewable-technology.com/projects/gunfleet-sands-offshore-wind-farm/
United Kingdom,Gunfleet Sands II,Production,2010,DONG Energy,Fixed,18,SWT-3.6-107,,3.6,53.5,22,https://www.renewable-technology.com/projects/gunfleet-sands-offshore-wind-farm/
United Kingdom,Hornsea 1 (Centre),Production,2020,Ørsted,Fixed,58,SWT-7.0-154,,7,77,,https://hornseaprojects.co.uk/
United Kingdom,Hornsea 1 (East),Production,2020,Ørsted,Fixed,58,SWT-7.0-154,,7,77,,https://hornseaprojects.co.uk/
United Kingdom,Hornsea 1 (West),Production,2020,Ørsted,Fixed,58,SWT-7.0-154,,7,77,,https://hornseaprojects.co.uk/
United Kingdom,Hornsea Project 2 (HOW02) Wind Farm,Production,2022,Ørsted,Fixed,165,SG 8.0-167 DD,,8,81.4,,https://hornseaprojects.co.uk/hornsea-project-two
United Kingdom,Hornsea Project Four (HOW04),Planned,2028,Ørsted,Fixed,180,,,14.5,110,,https://hornseaprojects.co.uk/hornsea-project-four/about-the-project-4
United Kingdom,Hornsea Project Three (HOW03),Approved,2026,Ørsted,Fixed,231,,,12.4,110,,https://hornseaproject3.co.uk/about-the-project
United Kingdom,Humber Gateway,Production,2015,RWE Renewables,Fixed,73,V112-3.0 MW,,3,55,,https://www.thewindpower.net/windfarm_en_12070_humber-gateway.php
United Kingdom,Hywind Scotland Pilot Park,Production,2017,Equinor,Floating,5,Siemens direct-drive,,6,77,,https://www.equinor.com/energy/hywind-scotland
United Kingdom,Inch Cape Offshore Wind Farm,Approved,2025,"Red Rock Power, ESB",Fixed,72,V236-15.0,,15,118,,https://www.inchcapewind.com/the-wind-farm/
United Kingdom,Inner Dowsing,Production,2008,Centrica,Fixed,27,SWT-3.6-107,,3.6,60,,https://www.power-technology.com/projects/lynnandinnerdowsing/
United Kingdom,Kentish Flats,Production,2005,Vattenfall,Fixed,30,V90-3.0 MW,,3,45,,https://powerplants.vattenfall.com/kentish-flats/
United Kingdom,Kentish Flats Extension,Production,2015,Vattenfall,Fixed,15,V112 3.3 MW,,3.3,56,,https://powerplants.vattenfall.com/kentish-flats-extension/
United Kingdom,Kincardine,Production,2021,Cobra Group,Floating,6,Five Vestas V164-9.5 MW and one V80-2 MW,,"9.5, 2",82,,https://www.principlepower.com/news/kowl-worlds-largest-floating-windfarm-fully-operational
United Kingdom,Lincs,Production,2013,"Centrica Energy, Siemens project Ventures, DONG Energy",Fixed,75,SWT-3.6-107,,3.6,60,,https://www.renewable-technology.com/projects/lincs-offshore-wind-farm-north-sea/
United Kingdom,London Array,Production,2013,"RWE, Orsted, Masdar & La Caisse de dépôt et placement du Québec (CDPQ)",Fixed,175,SWT-3.6-120,,3.6,60,,https://londonarray.com/
United Kingdom,Lynn,Production,2008,Centrica,Fixed,27,SWT-3.6-107,,3.6,60,,https://www.power-technology.com/projects/lynnandinnerdowsing/
United Kingdom,Marr Bank Wind Farm,Approved,2028,SSE Renwables,Fixed,124,,IEA-15MW-240-RWT,15,120,30,https://www.berwickbank.com/project
United Kingdom,Marram,Planned,2028,"ScottishPower, Shell",Floating,150,,,20,135,,https://www.power-technology.com/marketdata/power-plant-profile-marram-wind-offshore-project-uk/
United Kingdom,Methil Demo,Production,2013,Samsung Renewable Energy,Fixed,1,Samsung 7.0-171,,7,85.5,,https://www.thewindpower.net/windfarm_en_16664_fife-energy-park.php
United Kingdom,Moray Offshore Windfarm (East),Production,2021,OceanWinds,Fixed,100,V164-9.5MW,,9.5,82,,https://www.morayeast.com/
United Kingdom,Moray West,Approved,2025,OceanWinds,Fixed,60,SG 14-222 DD,,14,111,,https://www.moraywest.com/
United Kingdom,Morven,Planned,2030,"BP, EnBW",Fixed,194,,IEA-15MW-240-RWT,15,120,30,https://www.power-technology.com/marketdata/power-plant-profile-morven-offshore-wind-project-uk/
